SA3_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
12503,714,98,92,13,920,15,3,20,942,111,7,1061,900,263,140,11,1313,16,7,20,1342,170,0,1512,344,104,248,4,700,19,0,20,723,77,0,801,40,8,15,48,104,0,0,0,108,14,20,140,2002,471,493,84,3042,54,11,66,3105,369,24,3503,33,9,8,0,57,24,0,27,81,8,0,94,38,31,4,0,82,26,0,28,109,15,0,123,76,39,18,8,137,43,7,53,192,27,4,216,2075,506,513,83,3179,95,16,116,3293,395,32,3721,1443,606,526,136,2710,260,68,329,3040,2458,41,5536,13,8,4,30,46,0,0,0,49,19,128,196,3531,1118,1044,248,5937,360,82,444,6381,2871,193,9452,956,142,126,10,1233,29,8,38,1270,165,5,1440,809,279,151,24,1261,19,6,29,1284,200,3,1489,157,56,188,6,404,8,0,11,413,53,5,469,23,6,6,39,73,0,0,0,69,11,11,87,1948,478,461,75,2966,55,20,79
12504,1950,203,93,8,2253,44,7,47,2302,114,4,2423,1270,297,103,4,1674,29,9,35,1712,93,7,1812,658,101,173,9,939,9,0,7,946,29,0,974,32,11,3,42,83,4,0,7,92,3,11,102,3907,607,367,67,4949,78,17,96,5050,245,27,5314,263,24,5,3,292,21,3,26,321,8,0,331,150,25,4,6,183,23,5,22,201,8,0,217,414,46,9,7,480,38,12,46,524,20,0,544,4327,656,376,75,5429,119,24,143,5566,264,28,5858,1879,373,179,46,2479,88,25,112,2586,487,11,3083,26,10,7,35,69,0,0,0,75,0,38,114,6233,1034,557,156,7978,213,43,256,8232,752,72,9055,2582,260,106,10,2960,62,8,67,3029,148,5,3188,1424,334,107,14,1878,16,6,26,1906,97,3,2008,308,64,97,5,470,3,0,3,477,7,0,491,32,7,3,56,90,0,0,0,92,0,10,102,4345,658,315,84,5408,82,11,96
12601,544,61,37,0,646,15,5,21,665,34,0,702,517,108,18,3,648,7,0,12,656,25,0,684,173,27,44,3,249,6,0,3,248,6,0,261,6,0,0,9,17,0,0,0,17,0,0,20,1241,201,101,18,1550,28,4,40,1592,71,4,1666,35,7,0,0,41,5,0,5,43,0,0,45,29,7,0,0,41,4,0,4,44,0,0,47,66,10,3,0,82,9,0,10,86,0,0,93,1303,214,100,16,1635,38,11,46,1682,76,4,1758,454,70,25,0,552,15,0,21,575,76,0,647,4,0,0,9,16,0,0,0,16,0,11,20,1766,278,129,30,2200,51,12,66,2270,151,10,2429,1119,108,42,9,1278,18,3,23,1296,59,0,1356,715,141,27,4,889,14,3,17,899,37,5,938,98,16,36,3,153,0,0,0,153,13,0,167,5,0,0,14,22,0,0,0,23,6,0,18,1932,262,111,31,2336,31,4,36
12602,1570,186,64,15,1834,41,5,44,1879,80,3,1965,1375,337,49,5,1767,17,5,24,1790,66,3,1860,696,134,137,11,979,12,0,12,995,30,0,1022,27,14,4,18,60,0,0,0,60,3,14,75,3664,671,261,38,4639,78,10,85,4726,180,22,4921,75,9,7,0,92,11,0,11,103,8,0,106,84,11,0,3,94,7,3,12,107,11,0,115,156,24,5,0,187,22,3,20,211,10,0,225,3823,686,267,47,4828,94,8,108,4934,191,22,5148,1184,296,108,31,1627,39,6,47,1673,265,8,1942,16,4,0,24,39,0,0,0,39,0,25,62,5026,995,379,95,6495,135,16,152,6643,457,50,7155,2124,244,72,13,2458,62,4,68,2521,130,5,2655,1551,376,75,6,2003,31,0,36,2041,86,5,2131,238,63,70,0,373,9,0,9,383,11,0,395,23,10,0,26,53,0,0,0,59,5,12,83,3927,690,223,52,4890,111,8,118
12701,1335,189,138,18,1681,35,4,41,1717,130,4,1847,1555,440,161,19,2184,22,0,27,2214,137,3,2354,788,167,293,18,1260,3,3,10,1271,55,4,1325,45,11,4,48,111,0,0,0,111,7,10,135,3719,808,599,105,5234,67,6,81,5312,333,22,5668,45,14,3,0,66,10,0,10,77,9,0,84,94,21,11,0,122,7,3,13,130,11,0,142,143,28,9,0,191,16,3,19,209,20,0,230,3865,839,615,107,5421,85,8,99,5515,350,25,5892,1640,518,344,76,2584,155,36,192,2771,1179,28,3987,9,0,0,19,29,0,0,0,29,3,57,91,5504,1355,961,209,8034,242,48,290,8320,1542,110,9976,1624,251,151,9,2040,38,0,41,2079,147,0,2231,1426,438,173,20,2057,28,9,32,2094,193,0,2280,288,94,136,9,520,10,0,13,536,43,3,578,28,0,6,33,64,0,0,0,64,9,17,93,3370,783,462,71,4689,78,8,84
12702,572,62,76,8,720,16,0,22,736,115,3,858,587,204,137,10,938,15,7,21,961,159,3,1122,277,82,214,9,577,13,4,12,588,65,0,655,14,8,5,14,38,0,0,0,44,17,9,56,1446,353,432,40,2274,43,9,56,2329,349,14,2689,28,13,6,0,48,22,4,21,69,3,0,78,29,10,6,0,52,17,3,23,75,17,0,88,60,21,11,0,98,39,6,49,146,18,0,163,1508,377,441,38,2370,88,19,103,2473,366,14,2853,1058,547,381,77,2068,147,76,222,2289,2295,21,4613,9,4,7,21,34,0,0,0,34,17,74,123,2571,932,828,137,4472,235,94,323,4799,2679,113,7594,907,121,111,8,1143,30,0,30,1176,190,0,1368,682,286,157,12,1130,19,4,25,1150,229,0,1384,171,62,176,0,410,3,3,7,421,63,3,480,9,4,3,38,56,5,0,5,63,11,3,77,1769,467,447,63,2744,59,6,66
12703,940,145,112,5,1196,24,6,30,1232,124,3,1354,1040,274,160,6,1482,24,6,28,1509,140,3,1655,469,88,225,12,798,6,0,6,804,64,0,872,16,7,8,35,71,0,0,0,69,4,5,85,2464,514,509,63,3554,55,12,69,3622,334,14,3973,52,12,12,0,72,16,0,15,94,5,5,102,73,18,8,7,104,11,7,23,128,13,0,138,127,28,18,9,179,30,11,36,219,18,5,242,2593,544,525,68,3732,87,24,105,3842,354,17,4210,1342,523,310,85,2262,183,38,217,2480,1226,15,3727,14,5,4,18,41,0,0,0,42,5,40,80,3947,1075,839,174,6030,265,60,326,6362,1586,73,8020,1363,217,159,15,1753,34,3,40,1790,154,3,1946,1134,328,165,14,1640,21,8,26,1672,152,5,1829,257,68,133,3,456,0,0,0,459,41,0,502,14,5,4,33,55,0,0,0,55,5,9,73,2769,619,460,60,3907,61,15,71
12801,971,132,56,0,1160,17,0,17,1178,45,3,1223,1684,346,74,21,2117,4,3,13,2129,53,0,2183,725,145,111,5,985,5,4,13,991,22,0,1012,22,4,0,21,46,0,0,0,46,0,7,58,3401,626,244,49,4314,27,7,34,4348,114,9,4483,22,3,0,0,23,3,0,3,25,0,0,24,41,3,5,0,45,0,0,0,45,0,0,49,61,3,4,0,65,3,0,3,73,7,0,72,3455,629,247,49,4381,29,7,41,4417,117,9,4554,809,192,67,25,1093,20,5,25,1122,89,0,1207,4,3,0,5,10,0,0,0,10,6,9,21,4265,822,316,76,5482,57,16,70,5551,215,19,5784,1425,197,81,7,1708,20,4,19,1730,90,0,1820,1863,381,85,10,2338,18,7,22,2360,68,4,2437,264,64,45,4,373,0,0,0,379,14,0,391,15,0,0,24,45,0,0,0,45,7,5,56,3570,644,204,48,4466,34,6,43
12802,1043,113,65,5,1228,17,4,18,1248,38,0,1287,1892,297,91,10,2295,8,3,11,2309,32,0,2340,841,135,101,4,1076,6,0,6,1082,32,0,1113,21,0,0,19,42,0,0,0,42,0,4,43,3795,541,267,38,4642,32,3,39,4678,101,3,4785,26,0,0,0,27,4,0,4,32,0,0,32,46,6,3,4,61,4,0,4,62,0,0,62,67,15,0,4,91,6,0,6,91,0,0,91,3867,556,265,44,4735,40,3,44,4776,101,3,4879,736,123,70,24,946,20,0,20,972,88,3,1054,0,0,0,13,15,0,0,0,15,0,18,28,4600,676,332,74,5693,58,3,64,5755,186,25,5966,1639,210,59,0,1911,19,4,27,1936,75,3,2015,2229,345,96,6,2679,18,0,18,2696,51,5,2753,346,62,67,3,482,3,0,3,490,13,0,497,4,0,0,15,22,0,0,0,22,4,5,29,4224,617,225,31,5089,40,4,47
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
