LGA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
LGA16150,..,14,42,13,14,4,11,10,7,4,109,..,13,62,16,23,23,26,4,4,0,168,..,0,0,0,0,0,5,5,0,0,11,..,0,0,0,0,0,0,0,0,0,3,..,13,62,19,19,19,25,6,6,9,182,..,0,0,0,0,0,0,0,0,0,0,..,29,102,28,31,29,34,17,9,8,289,21,42,22,9,3,8,6,6,0,9,115,12,42,45,7,19,22,20,6,0,6,178,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,42,45,7,19,22,20,14,0,6,186,0,0,0,0,0,0,0,0,0,0,0,31,81,67,17,19,29,26,17,0,12,302,89,32,46,10,13,11,14,10,0,15,250,25,76,188,63,77,66,48,17,3,7,568,0,9,12,0,4,0,7,5,0,0,35,0,0,0,0,0,0,0,0,0,0,3,25,79
LGA16200,..,0,7,3,0,0,0,0,0,4,22,..,4,7,0,0,7,0,4,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,4,7,0,0,7,0,6,0,0,20,..,0,0,0,0,0,0,0,0,0,0,..,5,7,3,0,12,4,8,0,4,41,8,7,3,0,0,0,0,0,0,0,18,0,7,9,4,0,4,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,0,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,15,15,7,0,4,4,4,0,0,43,10,0,17,4,6,0,9,0,0,0,51,9,7,20,11,8,5,8,4,0,0,74,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,7
LGA16260,..,137,511,196,216,235,249,107,47,59,1770,..,316,1725,770,867,932,926,376,147,175,6238,..,3,23,33,54,87,177,125,103,47,657,..,0,0,3,7,10,25,25,20,4,101,..,316,1746,804,931,1030,1128,527,267,235,6996,..,0,0,0,0,0,0,6,12,11,38,..,463,2265,999,1149,1270,1378,646,324,303,8801,394,510,216,65,62,134,117,72,13,30,1617,835,1477,1495,534,807,1378,1411,531,36,127,8636,9,10,49,27,44,68,78,20,4,8,325,0,0,4,0,0,7,0,0,0,3,14,847,1486,1544,564,852,1454,1494,558,39,137,8975,0,0,3,0,0,8,0,0,0,35,39,1242,1996,1768,627,919,1592,1606,628,54,201,10636,1257,473,801,249,248,279,318,113,40,63,3850,3089,4178,6525,2158,2649,3015,3047,936,240,277,26121,89,284,529,186,221,243,238,61,17,44,1919,8,0,0,0,3,3,0,4,0,0,19,3180,4464
LGA16350,..,86,321,80,101,68,71,36,11,46,817,..,117,556,152,130,111,81,48,13,32,1242,..,0,6,6,11,6,19,23,9,7,89,..,0,0,0,0,0,0,0,0,0,3,..,118,563,154,139,119,97,75,26,42,1333,..,0,0,0,0,0,0,0,0,5,12,..,208,887,233,239,184,170,111,38,95,2161,302,440,206,36,37,33,32,19,13,35,1146,278,711,530,98,141,138,145,66,3,25,2122,3,0,7,9,9,7,11,5,5,0,49,0,0,0,0,0,0,3,0,0,0,3,273,710,539,103,146,147,155,71,11,25,2181,0,0,4,0,0,0,0,0,0,14,19,576,1155,745,142,178,174,193,89,22,70,3343,1010,330,329,69,85,70,72,29,9,51,2064,907,1137,1334,325,254,278,304,83,26,57,4705,11,34,63,28,25,21,18,7,6,0,220,0,4,0,0,0,0,0,0,0,0,12,922,1177
LGA16380,..,33,99,26,36,21,33,3,3,14,275,..,9,33,11,11,10,18,8,7,9,113,..,0,0,0,0,0,0,0,3,0,12,..,0,0,0,0,0,0,0,0,0,3,..,9,34,11,16,16,21,8,7,5,119,..,0,0,0,0,0,0,0,0,0,0,..,46,129,33,45,37,54,12,19,14,394,67,103,49,8,11,7,8,7,4,8,262,14,36,44,3,9,8,16,4,0,7,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,45,3,9,8,17,4,0,7,148,0,0,0,0,0,0,0,0,0,0,0,81,145,94,16,22,16,21,12,4,14,415,139,60,61,21,14,20,13,5,5,14,355,20,45,116,43,63,54,56,25,3,4,431,0,0,9,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,22,46
LGA16400,..,21,102,14,10,19,18,35,21,17,250,..,6,26,4,6,10,13,13,4,3,82,..,0,0,0,0,0,3,3,4,0,6,..,0,0,0,0,0,0,0,0,0,0,..,6,26,4,6,7,17,11,3,3,87,..,0,0,0,0,0,0,0,0,0,0,..,30,123,18,14,26,37,45,20,18,342,67,106,52,0,9,0,5,3,0,3,250,8,20,19,6,21,20,12,3,0,3,105,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,23,19,3,22,21,13,4,0,4,113,0,0,0,0,0,0,0,0,0,0,0,71,130,71,4,27,24,17,9,0,11,369,95,50,63,13,9,16,12,13,5,4,283,21,45,64,21,40,49,41,13,8,6,303,0,5,6,0,0,9,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,26,52
LGA16490,..,43,104,24,11,20,17,19,19,12,263,..,18,86,24,42,26,37,7,0,8,253,..,0,0,0,5,0,0,6,0,0,15,..,0,0,0,0,0,0,5,0,0,6,..,18,86,22,45,29,44,13,4,8,272,..,0,0,0,0,0,0,0,0,0,0,..,57,186,46,55,48,58,32,22,23,532,76,105,55,10,4,12,13,0,0,11,285,24,92,77,22,36,44,33,17,0,7,364,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24,91,80,22,36,46,33,17,0,10,367,0,0,0,0,0,0,0,0,0,0,0,102,194,138,37,44,55,44,19,4,13,658,222,88,81,20,20,6,26,12,8,12,492,93,206,471,186,219,201,120,27,3,13,1551,3,0,11,0,5,3,6,0,0,4,37,0,0,0,0,0,0,0,0,0,0,3,101,210
LGA16550,..,118,281,67,69,77,100,88,34,60,884,..,59,242,94,79,106,143,69,19,24,830,..,0,0,3,0,3,17,26,22,6,92,..,0,0,0,0,0,3,5,0,0,4,..,59,241,100,78,114,164,92,43,29,926,..,0,0,0,0,5,0,0,0,5,4,..,177,522,162,142,191,271,181,77,94,1819,354,331,148,46,90,122,189,107,45,27,1452,166,308,334,188,280,379,543,291,27,35,2555,0,0,8,7,10,8,46,11,0,4,100,0,0,0,0,0,0,0,0,0,0,0,172,311,342,193,293,388,592,302,31,35,2659,0,0,0,0,0,0,0,0,0,15,21,528,645,489,238,377,508,779,406,77,79,4130,737,390,1601,569,649,854,930,356,74,91,6251,580,538,1208,540,661,837,954,326,44,56,5745,3,13,37,10,19,33,81,19,6,9,223,0,0,0,0,0,0,0,0,0,0,0,589,549
LGA16610,..,7,16,0,0,0,0,0,0,5,31,..,0,0,0,0,0,4,0,4,0,14,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,7,0,0,0,4,0,4,0,15,..,0,0,0,0,0,0,0,0,0,0,..,8,21,0,0,8,3,0,4,5,43,10,8,9,0,6,6,3,0,0,0,32,0,5,3,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,16,10,0,6,4,10,0,0,4,50,13,8,9,0,0,5,9,0,0,7,49,4,11,20,7,3,15,16,6,0,0,80,0,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,11
LGA16700,..,64,237,58,51,81,104,67,11,20,708,..,103,500,224,241,236,298,121,44,48,1810,..,0,4,11,18,35,57,45,35,9,211,..,0,0,0,0,0,7,9,4,0,29,..,105,508,236,259,270,360,174,83,62,2049,..,0,0,0,0,0,0,0,0,0,4,..,173,743,295,312,351,468,243,101,79,2760,212,213,117,27,38,49,93,58,10,24,838,254,457,640,277,336,397,610,293,21,56,3342,3,0,16,9,19,32,55,15,4,6,178,0,0,0,0,0,0,4,0,0,0,9,264,465,660,290,354,437,666,312,20,60,3523,0,0,0,0,0,0,3,0,0,5,15,474,677,779,316,393,487,759,367,30,83,4369,739,287,468,155,152,151,165,66,17,30,2223,1421,2219,2998,854,986,979,1026,363,64,130,11035,39,84,210,81,107,129,121,35,9,17,843,0,0,4,0,0,0,0,0,0,3,10,1456,2304
LGA16900,..,28,69,13,18,18,12,11,4,8,181,..,15,57,6,16,17,18,0,0,0,141,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,10,56,6,16,19,19,0,0,5,144,..,0,0,0,0,0,0,0,0,0,0,..,42,127,20,37,36,33,16,7,10,330,43,83,36,5,7,6,6,0,3,5,190,16,44,52,11,10,8,10,7,0,5,152,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,43,51,11,10,14,8,9,0,4,160,0,0,0,0,0,0,0,0,0,0,0,58,123,89,14,18,19,17,8,3,4,354,154,67,80,18,15,13,16,10,0,9,392,56,55,113,27,41,30,29,6,8,0,361,0,8,10,3,0,0,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,56,65
LGA16950,..,44,82,12,16,15,24,21,5,16,236,..,8,38,14,16,25,47,16,3,0,169,..,0,0,0,0,4,9,5,5,7,23,..,0,0,0,0,0,0,0,0,0,0,..,9,42,14,15,27,53,19,6,4,189,..,0,0,0,0,0,0,0,0,3,3,..,55,117,30,36,41,77,42,11,20,425,55,99,49,11,15,6,10,5,0,9,264,11,32,39,15,12,13,26,9,3,3,164,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,32,43,15,12,10,23,9,3,3,168,0,0,0,0,0,0,0,0,0,10,10,71,134,88,27,27,23,27,17,3,18,443,186,75,96,19,20,21,23,11,4,6,463,43,70,186,72,60,70,58,21,6,15,600,4,3,0,0,8,0,11,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,49,76
LGA17000,..,14,27,0,0,3,5,0,3,3,60,..,0,10,0,0,8,4,3,0,0,40,..,0,0,0,0,0,0,6,0,0,7,..,0,0,0,0,0,0,0,0,0,4,..,0,10,0,0,8,11,11,0,0,47,..,0,0,0,0,0,0,0,0,0,0,..,14,38,3,0,14,15,10,11,5,109,10,44,14,5,0,4,5,0,5,5,91,6,13,14,0,0,0,8,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,14,0,0,0,10,0,3,0,61,0,0,0,0,0,0,0,0,0,0,0,18,63,29,9,0,3,11,0,6,3,153,40,47,20,7,0,3,5,5,3,3,140,15,19,25,14,4,16,15,5,7,0,123,0,3,0,3,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,25
LGA17040,..,13,22,0,3,6,4,3,5,4,66,..,0,9,0,4,4,16,8,4,3,41,..,0,0,0,0,0,5,0,7,0,10,..,0,0,0,0,0,0,0,0,0,3,..,0,8,0,6,4,17,6,9,3,58,..,0,0,0,0,0,0,0,0,0,0,..,15,27,4,17,7,20,15,16,14,121,21,21,13,5,0,6,3,4,0,0,69,4,10,10,0,3,3,10,0,0,3,49,0,0,3,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,10,15,0,3,3,16,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,24,30,24,4,5,6,15,7,3,8,124,49,16,26,4,12,15,32,8,6,9,185,11,22,28,19,18,29,76,32,3,5,244,4,0,0,0,0,11,26,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,18,24
LGA17080,..,4,13,3,6,0,0,0,0,0,35,..,7,10,0,5,4,10,0,0,0,32,..,0,0,0,0,0,0,0,0,4,0,..,0,0,0,0,0,0,0,0,0,0,..,7,10,0,5,4,10,3,0,4,37,..,0,0,0,0,0,0,0,0,0,0,..,11,25,3,14,5,10,5,0,3,70,3,19,3,0,0,0,0,0,3,4,26,0,10,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,3,29,7,3,3,0,0,0,3,8,60,15,11,7,3,3,6,8,0,0,0,49,9,8,31,6,9,4,5,9,0,0,80,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,15
LGA17100,..,14,55,20,27,23,37,4,8,15,195,..,38,264,100,83,144,163,49,29,14,887,..,0,4,0,16,9,28,22,16,5,102,..,0,0,0,0,0,4,0,0,0,9,..,44,268,102,97,156,198,70,46,18,1003,..,0,0,0,0,0,0,0,0,0,7,..,58,317,123,126,176,233,80,56,37,1201,57,58,26,16,14,36,37,12,5,6,276,181,267,251,137,366,669,541,168,6,45,2625,6,4,13,12,4,27,18,4,0,7,105,0,0,0,0,0,0,0,0,0,0,3,183,273,266,148,369,696,566,172,12,52,2734,0,0,0,0,0,0,0,0,0,3,6,247,334,296,163,387,730,606,182,15,67,3015,220,91,140,60,59,68,77,19,9,21,773,545,814,1403,553,640,833,851,193,46,95,5982,22,96,144,59,82,94,84,13,0,20,629,0,0,0,0,0,0,6,0,0,0,13,573,905
LGA17150,..,153,381,97,69,98,95,64,47,51,1061,..,55,233,66,67,57,64,31,10,13,610,..,0,0,3,5,5,11,3,11,3,39,..,0,0,0,0,3,0,8,0,0,8,..,55,233,73,70,71,82,37,15,14,654,..,0,0,0,0,0,0,0,0,3,6,..,215,617,170,142,163,175,103,66,68,1721,312,411,195,48,19,38,28,19,17,29,1105,116,239,187,35,50,55,71,23,9,10,793,0,4,0,0,0,3,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,118,241,193,34,50,58,71,28,9,10,805,0,0,0,0,0,0,5,0,0,8,10,430,649,380,81,68,98,103,43,28,39,1920,654,302,585,146,119,132,97,47,18,40,2135,456,422,643,171,165,138,129,43,8,22,2207,9,15,28,6,13,14,10,5,4,0,104,0,0,0,0,0,0,0,0,0,0,0,460,436
LGA17200,..,68,158,43,61,62,73,75,51,43,634,..,34,224,92,96,102,153,85,41,47,874,..,0,7,5,10,12,53,30,40,30,173,..,0,0,0,0,0,8,10,4,4,21,..,34,231,96,104,115,203,120,84,82,1070,..,0,0,0,0,0,0,0,0,0,4,..,102,383,139,170,175,278,194,134,127,1708,612,479,248,132,184,254,435,245,130,70,2794,339,418,1166,937,1282,1484,2120,949,133,149,8977,41,13,45,60,124,146,276,108,9,26,839,0,0,0,0,4,5,0,0,0,0,9,380,429,1209,996,1405,1632,2391,1065,140,178,9827,0,0,0,0,0,4,5,0,0,13,22,996,914,1459,1127,1585,1885,2828,1308,269,264,12639,2438,1041,3041,1129,1214,1548,1803,674,203,200,13289,1749,2481,5796,2062,2236,2548,3252,1040,198,280,21645,97,126,584,235,291,300,509,150,11,86,2401,5,6,3,8,0,6,5,3,0,0,38,1849,2613
LGA17310,..,24,46,5,21,6,15,5,5,9,134,..,0,41,21,35,42,53,11,0,12,226,..,0,0,3,3,8,20,0,3,4,47,..,0,0,0,0,0,0,0,0,0,0,..,0,41,25,37,55,74,16,3,19,269,..,0,0,0,0,0,0,0,0,4,4,..,23,87,31,59,62,85,23,8,26,404,15,29,20,4,6,3,3,6,0,7,100,5,14,68,19,24,18,27,16,9,3,210,0,0,0,3,3,6,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,14,68,22,27,31,31,18,9,3,231,0,0,0,0,0,0,0,0,0,0,0,20,46,95,30,35,33,33,22,10,16,329,63,26,52,15,15,6,22,10,9,10,238,28,74,222,90,122,123,135,50,23,14,877,7,8,26,19,46,53,63,9,0,7,235,0,0,0,0,0,0,0,0,0,3,7,36,79
LGA17350,..,0,4,0,0,4,0,0,0,0,10,..,0,0,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,4,0,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,0,5,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,5,8,4,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
LGA17400,..,0,4,0,0,0,3,0,0,0,12,..,0,3,0,0,0,0,0,0,5,4,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,5,4,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,4,0,0,5,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,3,24,10,8,3,0,0,0,0,0,0,0,24,0,0,6,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
LGA17420,..,191,631,190,200,183,175,83,46,50,1750,..,269,1119,379,404,365,309,146,67,78,3137,..,0,8,4,10,9,32,32,37,11,156,..,0,0,0,0,0,7,5,0,0,11,..,273,1132,381,416,377,345,187,106,91,3305,..,0,0,0,3,0,0,0,0,4,10,..,463,1765,573,625,559,517,272,154,146,5063,476,748,303,51,59,62,83,57,10,32,1860,581,1102,633,130,138,132,171,72,12,35,3014,8,7,10,4,6,10,9,3,0,0,63,0,3,0,0,0,0,0,0,0,0,7,585,1112,638,134,150,142,182,68,13,43,3079,0,0,0,0,0,0,0,0,0,3,9,1059,1860,941,186,206,201,257,129,20,78,4946,937,266,314,84,85,61,65,34,17,35,1889,1456,1529,1458,320,361,314,287,97,41,72,5940,8,68,101,28,26,33,19,7,6,10,301,0,3,5,0,0,0,0,0,0,0,8,1466,1605
LGA17550,..,68,141,28,20,28,46,31,12,16,398,..,10,53,21,17,20,25,17,0,6,166,..,0,0,0,0,0,5,0,6,0,8,..,0,0,0,0,0,0,0,0,0,0,..,10,53,18,17,16,24,21,5,3,171,..,0,0,0,0,0,0,0,0,0,0,..,77,197,46,34,44,77,51,21,25,575,84,173,83,9,9,12,9,10,9,17,403,15,44,35,16,10,23,18,8,0,0,179,0,0,8,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,41,35,20,10,22,22,8,0,0,193,0,0,0,0,0,0,0,0,0,0,0,102,215,121,29,15,31,35,19,8,20,599,223,107,136,34,33,41,36,15,7,23,656,35,61,234,95,77,76,71,28,5,9,691,0,0,8,0,5,5,5,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,34,63
LGA17620,..,0,6,4,4,0,5,0,0,0,17,..,0,4,3,9,3,6,3,0,6,31,..,0,0,0,0,0,7,5,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,4,3,9,3,11,3,0,5,37,..,0,0,0,0,0,0,0,0,0,0,..,0,10,10,6,6,18,3,0,3,58,5,9,14,0,0,3,5,0,0,0,46,0,6,4,0,4,6,8,6,4,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,6,8,3,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5,14,13,0,5,11,13,8,8,0,81,14,22,37,16,9,6,13,5,0,5,127,9,13,26,4,14,16,40,11,10,0,144,0,0,0,0,0,6,12,11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,8,14
LGA17640,..,0,4,0,0,0,0,0,3,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,3,0,15,4,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,14,14,3,7,0,0,3,0,0,0,0,26,3,5,3,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
LGA17650,..,0,3,4,3,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,5,4,3,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,4,10,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,10,7,0,6,0,0,0,3,0,0,0,13,0,0,3,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
