LGA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
LGA16200,0,0,0,3,5,77,5,0,0,0,0,0,0,0,4,84,19,0,0,0,0,0,0,0,0,3,26,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,29,324,49,41,4,3,8,6,7,4,19,467,71,60,69,21,13,33,13,13,0,0,295,11,5,5,3,0,5,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,86,63,71,23,14,38,14,16,3,0,331,8,0,0,0,0,0,0,0,0,3,7,410,109,113,31,19,45,25,20,6,23,807
LGA16260,0,0,0,19,27,4219,354,237,38,50,26,86,44,3,137,5194,455,10,0,0,0,0,0,4,0,32,499,435,9,7,0,0,0,0,0,0,27,480,666,62,44,0,5,0,13,4,0,30,826,3,0,0,0,0,0,0,0,0,0,5,1104,71,44,0,3,0,21,4,0,55,1313,3,0,0,0,0,0,0,0,0,14,17,1562,76,44,0,3,0,20,11,3,103,1832,12711,2417,2389,704,704,802,858,388,135,400,21515,32644,16018,16289,5218,6098,6963,7039,2498,673,1107,94548,7805,3211,3474,840,922,975,1477,621,204,441,19981,49,16,25,13,14,24,31,26,19,24,238,40495,19255,19793,6073,7032,7958,8545,3147,894,1572,114773,38,13,18,4,8,12,8,11,12,433,558,53248,21688,22200,6786,7740,8774,9413,3546,1040,2408,136842
LGA16350,0,0,0,30,30,3423,54,60,8,13,5,28,12,0,94,3694,454,4,0,0,0,0,0,0,0,28,490,249,0,0,0,0,0,0,0,0,21,268,206,10,0,0,0,0,0,0,0,9,231,3,0,0,0,0,0,0,0,0,0,5,460,11,0,0,0,0,0,0,0,28,504,0,0,0,0,0,0,0,0,0,16,17,915,15,0,0,0,0,4,0,0,71,1007,15137,1697,1405,264,292,216,225,111,41,451,19839,12229,6054,4645,948,801,754,780,292,71,318,26902,1674,564,560,133,112,117,210,94,29,95,3590,51,3,4,0,5,4,4,6,0,8,78,13953,6619,5214,1079,921,875,988,394,100,420,30575,26,8,7,4,0,5,0,0,0,335,384,29115,8325,6631,1344,1209,1093,1218,503,148,1207,50796
LGA16380,0,0,0,8,17,1689,31,3,4,4,9,3,0,0,85,1827,448,0,0,0,0,0,0,0,0,56,511,55,0,0,0,0,0,0,0,0,6,59,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,6,78,3,0,0,0,0,0,0,0,0,10,11,520,0,0,0,0,0,0,0,0,72,606,6381,629,479,78,95,85,102,44,25,309,8232,863,365,379,101,131,115,135,45,15,45,2195,65,23,40,0,9,3,11,8,0,13,182,6,0,6,0,0,0,0,0,0,0,10,936,389,423,103,143,121,145,51,16,58,2389,19,0,0,0,0,3,0,0,0,28,49,7335,1015,900,182,241,212,243,98,48,399,10673
LGA16400,0,0,0,10,17,1355,29,19,4,3,3,0,0,0,52,1471,233,4,0,0,0,0,0,0,0,26,270,57,0,0,0,0,0,0,0,0,3,65,6,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,6,76,0,0,0,0,0,0,0,0,0,20,17,305,4,0,0,0,0,0,0,0,49,365,5322,549,443,67,53,76,66,78,40,215,6918,953,261,249,54,97,94,90,35,15,39,1888,74,21,26,3,10,18,21,5,10,9,198,5,0,0,0,0,0,0,0,0,5,7,1038,288,271,57,104,113,111,38,18,50,2091,12,0,0,0,0,0,0,0,0,42,58,6369,839,719,126,163,186,178,120,58,310,9067
LGA16490,0,0,0,0,3,859,7,10,0,0,0,5,3,0,22,910,114,0,0,0,0,0,0,0,0,11,129,112,0,0,0,0,0,0,0,0,3,117,64,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,9,186,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,15,317,3982,585,456,84,57,66,71,45,33,141,5505,2016,1019,1094,309,375,321,255,74,19,72,5554,293,41,50,23,18,22,45,22,0,22,533,8,0,3,0,0,0,0,5,0,3,16,2319,1059,1151,328,392,346,296,95,19,96,6104,3,0,0,0,0,0,0,0,0,6,15,6300,1641,1608,407,453,410,368,138,50,246,11617
LGA16550,0,0,0,104,116,3309,90,58,6,4,12,19,15,3,199,3715,374,4,5,0,0,0,3,0,0,9,399,547,8,3,0,0,0,0,0,0,25,580,439,15,4,0,0,0,3,0,0,24,482,9,0,0,0,0,0,0,0,0,6,14,992,17,8,0,0,0,3,3,0,50,1072,5,0,0,0,0,0,0,0,0,227,230,1373,25,16,0,0,0,4,4,0,285,1703,12308,3049,3641,868,981,1185,1385,627,181,411,24647,11170,2836,3199,1160,1296,1596,1960,818,142,292,24468,2066,293,259,69,80,110,255,104,38,109,3380,23,0,0,0,0,0,3,5,0,11,49,13259,3126,3458,1228,1378,1706,2220,921,186,414,27895,34,3,4,3,0,8,3,0,0,590,648,25598,6178,7101,2095,2356,2903,3612,1551,373,1413,53185
LGA16610,0,0,0,0,3,176,0,0,0,0,0,0,0,0,9,190,46,0,0,0,0,0,0,0,0,0,48,10,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,4,70,838,83,61,9,8,8,9,10,0,56,1083,115,41,40,8,8,24,30,6,9,7,300,14,0,4,0,0,0,3,0,0,0,27,3,0,0,0,0,0,0,0,0,0,3,133,40,50,13,8,31,31,9,9,13,333,0,0,0,0,0,0,0,0,0,0,6,974,121,111,24,24,40,37,14,6,65,1421
LGA16700,0,0,0,36,39,2910,154,137,17,17,14,48,22,5,103,3424,266,0,0,0,0,0,0,0,0,10,283,442,6,0,0,0,0,0,0,0,18,464,544,24,9,0,3,0,9,5,5,22,619,4,0,0,0,0,0,0,0,0,4,8,981,28,15,0,3,0,9,5,5,40,1088,0,0,0,0,0,0,0,0,0,72,72,1250,36,16,3,3,0,9,5,5,123,1437,8157,1409,1373,321,343,355,461,251,52,231,12947,17165,6650,6750,1973,2163,2179,2482,1065,211,482,41106,3823,1100,1396,398,412,471,705,311,85,225,8937,34,8,6,0,4,3,14,9,7,14,98,21020,7762,8156,2375,2572,2652,3202,1382,301,721,50144,12,4,4,7,0,0,8,0,7,200,244,29192,9171,9534,2699,2919,3015,3666,1640,350,1148,63339
LGA16900,0,0,0,27,34,1605,10,9,0,0,0,0,0,0,80,1710,308,4,0,0,0,0,0,0,0,20,329,160,0,0,0,0,0,0,0,0,7,169,112,0,0,0,0,0,0,0,0,3,114,5,0,0,0,0,0,0,0,0,3,0,272,0,0,0,0,0,0,0,0,16,288,0,0,0,0,0,0,0,0,0,28,28,580,4,3,0,0,0,0,0,0,61,647,6144,475,344,49,60,65,53,31,12,181,7405,2666,409,448,76,92,83,85,27,12,63,3962,631,39,48,6,4,10,17,9,0,31,808,12,0,0,0,0,3,0,0,0,5,21,3308,450,498,90,101,98,102,39,13,94,4790,14,0,0,0,0,0,0,0,0,71,86,9468,923,840,140,158,158,158,66,25,343,12280
LGA16950,0,0,0,5,12,2362,23,16,0,0,3,3,3,0,115,2526,561,4,0,0,0,0,0,0,0,48,613,118,0,0,0,0,0,0,0,0,10,131,41,0,0,0,0,0,6,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,6,0,0,17,173,6,0,0,0,0,0,0,0,0,8,16,723,4,0,0,0,0,3,0,0,69,800,8842,622,457,81,75,78,89,60,14,408,10725,1605,387,507,162,132,157,187,82,19,82,3319,174,40,43,19,11,13,56,16,3,28,402,8,0,6,0,0,0,0,0,0,0,14,1782,429,553,180,149,173,244,94,26,107,3733,23,0,0,0,0,0,0,0,0,144,169,10647,1047,1012,258,223,253,336,159,37,660,14634
LGA17000,0,0,0,0,0,134,9,0,0,0,0,0,0,0,6,150,31,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,35,934,222,125,25,4,17,16,9,18,44,1417,158,134,112,29,21,32,48,25,12,7,567,12,14,14,5,4,6,7,0,0,0,78,0,0,0,0,0,0,0,0,0,0,5,172,147,121,30,21,38,51,24,18,7,647,0,0,0,0,0,0,0,0,3,3,4,1110,368,247,57,34,54,67,37,39,60,2067
LGA17040,0,0,0,0,0,328,3,0,0,0,0,0,0,0,11,347,79,0,0,0,0,0,0,0,0,9,94,34,0,0,0,0,0,0,0,0,7,41,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,7,39,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,3,0,0,13,142,1467,127,111,12,27,29,48,26,18,70,1929,336,103,96,35,40,46,121,54,23,29,885,24,4,9,3,4,10,39,4,4,7,111,3,0,0,0,0,0,0,0,0,0,13,368,110,100,37,44,55,166,60,29,32,1007,3,0,0,0,0,0,0,0,0,25,26,1838,234,216,52,74,81,216,87,40,128,2965
LGA17080,0,0,0,0,0,141,4,0,0,0,0,0,0,0,10,157,26,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,38,596,88,47,12,17,4,11,4,6,31,827,147,91,80,18,25,27,28,16,0,7,428,16,4,3,3,0,7,8,5,0,5,42,0,0,0,0,0,0,0,0,0,0,3,157,93,85,19,25,31,32,21,0,11,473,0,0,0,0,0,0,0,0,0,59,65,750,178,134,29,44,35,47,30,8,106,1362
LGA17100,0,0,0,3,3,1081,50,34,4,0,3,15,6,0,42,1242,90,4,0,0,0,0,0,0,0,13,101,173,0,0,0,0,0,0,0,0,27,205,201,9,10,0,0,0,3,0,0,36,261,0,0,0,0,0,0,0,0,0,0,5,381,9,8,0,0,0,7,0,0,66,470,0,0,0,0,0,0,0,0,0,0,0,464,15,9,0,0,0,7,0,0,79,573,1902,326,332,131,133,144,167,47,16,88,3290,6826,2532,2832,1030,1307,1882,1795,484,104,303,19094,1949,662,581,169,199,212,286,104,30,171,4354,7,3,5,4,0,6,12,3,0,9,51,8788,3200,3418,1204,1506,2096,2097,585,133,476,23507,6,0,4,0,0,3,3,0,0,44,69,10695,3526,3755,1334,1644,2244,2270,634,155,605,26863
LGA17150,0,0,0,49,54,3904,76,52,14,14,6,17,7,0,143,4232,719,10,3,0,0,0,0,0,0,51,786,418,0,0,0,0,0,0,0,0,26,447,231,11,5,0,0,0,0,3,0,14,267,5,0,0,0,0,0,0,0,0,5,5,654,13,5,0,0,0,5,3,0,42,723,21,0,0,0,0,0,0,0,0,76,99,1394,22,9,0,0,0,7,4,0,171,1610,16824,2716,2261,457,304,377,335,176,107,427,23986,10217,2675,2352,471,476,388,393,156,47,204,17384,1610,294,321,75,66,83,149,45,21,59,2726,22,5,0,0,0,3,0,8,0,13,52,11856,2980,2675,547,541,478,543,206,71,275,20164,37,5,0,0,0,0,5,0,0,192,240,28709,5701,4945,999,844,854,881,383,176,898,44390
LGA17200,0,0,0,63,75,2698,109,82,13,10,8,17,17,0,129,3090,264,0,3,0,0,0,0,0,0,19,293,194,4,0,0,0,0,0,0,0,18,215,440,19,13,0,0,0,6,0,0,7,490,5,0,0,0,0,0,0,0,0,0,5,636,21,13,0,0,0,6,0,0,26,701,5,0,0,0,0,0,0,0,0,43,48,902,23,21,0,4,0,9,4,0,89,1046,17805,4886,6240,1770,1859,2216,2710,1248,520,628,39883,12846,6735,10433,3855,4262,4799,6255,2440,529,807,52960,3141,928,1565,521,648,674,1205,477,97,308,9570,42,5,10,4,7,4,10,15,3,11,126,16027,7669,12006,4387,4915,5474,7471,2935,631,1136,62662,37,9,15,3,10,12,17,5,0,272,379,33869,12570,18266,6155,6783,7708,10200,4189,1153,2040,102929
LGA17310,0,0,0,3,10,331,4,4,0,0,0,0,0,0,30,369,90,0,0,0,0,0,0,0,0,9,104,23,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,9,122,1659,194,199,36,65,23,47,34,21,103,2379,319,318,600,185,232,236,281,100,45,41,2363,29,31,60,43,76,109,121,22,3,22,518,0,0,0,0,0,0,0,0,0,3,9,351,351,663,230,312,346,402,123,55,67,2884,7,0,0,0,0,0,0,0,0,14,29,2018,543,863,265,376,370,448,153,75,180,5290
LGA17350,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,153,9,19,0,0,0,4,0,0,16,204,29,25,23,7,0,11,0,0,4,0,102,11,0,0,6,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,3,36,25,20,14,0,11,4,7,4,3,118,0,0,0,0,0,0,0,0,0,0,0,187,34,35,15,7,9,3,4,4,13,322
LGA17400,0,0,0,0,0,73,3,0,0,0,0,0,0,0,3,83,18,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,22,382,22,18,3,3,0,3,0,0,21,448,44,22,21,3,9,3,7,5,0,14,119,6,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,5,9,52,16,22,3,9,3,13,3,0,19,142,0,0,0,0,0,0,0,0,0,0,0,428,44,41,4,9,3,15,0,0,39,590
LGA17420,0,0,0,26,36,3388,205,161,26,25,19,71,34,0,117,4045,395,5,9,0,0,0,0,0,0,32,443,371,13,11,0,0,0,4,0,0,18,415,300,33,21,4,11,0,4,0,0,24,395,4,0,0,0,0,0,0,0,0,0,11,672,49,27,5,11,3,13,6,0,47,821,0,0,0,0,0,0,0,0,0,80,84,1075,55,31,9,9,0,11,6,0,153,1346,14187,2675,2138,476,499,430,448,253,97,327,21535,23762,10056,7219,1658,1658,1459,1320,635,230,461,48453,2669,1231,1347,295,263,258,564,268,67,167,7136,41,12,5,4,3,5,4,5,0,10,94,26467,11299,8575,1956,1923,1724,1884,914,298,639,55678,28,0,6,3,0,0,0,3,0,178,216,40683,13977,10714,2433,2426,2158,2333,1167,394,1140,77434
LGA17550,0,0,0,41,46,1861,53,25,3,0,8,0,3,0,151,2106,666,9,0,4,0,0,0,0,0,63,749,55,0,0,0,0,0,0,0,0,4,64,24,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,10,89,8,0,0,0,0,0,0,0,0,51,59,755,9,0,4,0,0,0,0,0,122,891,8485,1177,756,125,100,105,150,94,46,444,11478,1136,559,620,196,153,160,153,72,12,53,3117,112,38,34,12,14,10,32,10,6,7,269,0,0,3,0,0,0,0,0,0,3,9,1247,592,656,215,166,177,185,85,17,70,3403,18,0,0,0,0,0,0,0,0,113,136,9754,1770,1419,337,266,285,330,175,57,627,15019
LGA17620,0,0,0,0,0,85,0,0,0,0,0,0,3,0,9,101,26,0,0,0,0,0,0,0,0,4,29,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,27,0,0,0,0,0,0,0,0,7,32,517,86,85,21,18,13,25,13,5,31,811,51,60,55,17,29,41,85,20,15,4,379,16,4,10,4,7,10,35,18,0,4,108,0,0,0,0,0,0,0,0,0,5,0,62,63,70,22,32,51,113,37,23,11,492,0,0,0,0,0,0,0,0,0,5,6,579,147,159,47,48,67,142,44,27,45,1307
LGA17640,0,0,0,0,0,85,0,0,0,0,0,0,0,0,5,90,14,0,0,0,0,0,0,0,0,4,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,23,451,30,15,3,6,8,4,0,3,7,523,68,15,18,6,0,5,0,0,0,6,118,3,5,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,76,15,18,6,3,5,0,0,0,9,125,0,0,0,0,0,0,0,0,0,0,3,524,48,35,14,8,13,4,0,3,18,649
LGA17650,0,0,0,0,0,41,0,0,0,0,6,0,0,0,0,47,13,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,272,18,15,7,3,4,3,6,0,14,342,44,20,13,0,0,0,0,0,0,0,81,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,20,13,0,0,0,0,3,0,0,85,0,0,0,0,0,0,0,0,0,0,0,319,39,26,10,9,4,6,8,0,14,428
LGA17750,0,0,0,3,4,328,8,4,0,0,0,6,3,0,11,365,102,0,0,0,0,0,0,0,0,13,110,27,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,3,129,0,0,0,0,0,0,0,0,13,153,1807,317,266,36,55,50,59,38,19,88,2736,593,698,1096,313,350,369,410,150,88,44,4099,47,77,95,77,73,82,246,78,10,15,805,0,3,0,0,0,5,8,0,3,0,27,646,781,1191,390,425,450,662,222,103,60,4928,4,5,0,0,0,0,0,0,0,15,17,2451,1095,1457,427,483,508,720,261,121,159,7684
LGA17850,0,0,0,0,0,30,6,0,3,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,113,10,0,4,0,0,0,0,0,3,139,17,3,0,5,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,5,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,3,129,14,0,3,0,0,0,4,0,6,166
LGA17900,0,0,0,5,4,67,0,0,0,0,0,0,0,0,3,71,16,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,24,192,13,11,0,3,0,4,5,0,3,224,90,25,12,0,11,10,8,9,3,8,176,15,3,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,107,26,15,3,9,15,8,12,6,9,209,0,0,0,0,0,0,0,0,0,8,3,292,41,24,3,15,14,9,17,6,23,444
LGA17950,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,7,0,0,4,0,0,0,3,68,3,3,13,3,4,9,13,9,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,3,5,9,18,9,5,0,66,0,0,0,0,0,0,0,0,0,0,0,51,13,24,3,8,9,17,9,4,3,130
LGA18020,0,0,0,0,0,87,0,0,0,0,0,0,0,0,4,91,20,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,23,330,20,14,0,5,0,5,4,4,13,392,64,14,20,7,10,11,8,4,3,5,144,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,68,14,22,7,10,11,8,4,10,0,151,0,0,0,0,0,0,0,0,0,0,0,397,36,38,5,12,11,12,9,12,17,551
LGA18050,0,0,0,18,25,1445,52,32,3,3,3,10,8,0,72,1632,315,11,3,5,0,0,0,0,0,18,349,232,0,0,0,0,0,0,0,0,15,245,111,0,0,0,0,0,0,0,0,11,130,0,0,0,0,0,0,0,0,0,0,3,340,0,0,0,0,0,0,0,0,30,378,3,0,0,0,0,0,0,0,0,57,56,658,12,3,5,0,0,0,0,0,107,785,8393,1918,2586,800,812,987,1144,529,126,279,17581,3808,1154,1578,545,656,779,953,356,46,152,10029,417,58,61,19,23,46,89,53,13,44,816,5,0,0,0,0,0,0,0,0,6,17,4228,1211,1642,559,682,822,1037,411,66,200,10866,11,0,6,0,3,6,3,0,0,111,139,12639,3134,4231,1357,1497,1814,2182,937,192,593,28581
LGA18100,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,27,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,123,3,12,0,0,0,0,0,0,9,163,16,5,4,0,0,0,3,0,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,4,0,0,0,3,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,139,5,19,0,0,3,6,0,6,15,200
