LGA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
LGA15800,179,4,0,0,4,0,181,11,5,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,5,0,22,0,0,0,0,0,0,0,194,9,0,0,9,0,201,223,0,0,0,0,0,223,11,9,0,0,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,21,3,0,0,0,0,0,3,239,9,0,0,9,0,248,141,0,0,0,0,0,141,10,9,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,9,0,12,0,0,0,0,0,0,0,145,9,0,0,9,0,151,82,0,0,0,0,0,82,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,0,0,0,0,0,0,0,88,4,0,0,4,0,93,97,0,0,0
LGA15850,255,0,0,0,0,0,255,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,257,0,0,0,3,0,263,251,0,0,0,0,0,257,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,258,3,0,0,4,0,263,156,0,0,0,0,0,157,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,9,3,0,0,0,0,0,3,164,3,0,0,3,0,166,92,0,0,0,0,0,97,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,93,0,0,0,0,4,101,101,0,0,0
LGA15900,5579,203,0,0,203,9,5794,243,773,34,0,807,0,1054,9,106,32,0,143,0,149,0,0,0,0,0,0,3,247,879,68,0,953,0,1203,6,4,0,0,4,4,17,5832,1089,64,0,1158,18,7007,5467,146,0,0,149,5,5619,299,718,32,0,750,0,1048,0,129,57,0,183,0,191,0,0,0,0,0,0,3,304,849,88,0,940,0,1241,3,0,0,0,0,0,4,5769,993,94,0,1086,11,6868,3253,68,0,0,68,0,3318,141,417,16,0,434,0,572,3,53,34,0,81,0,87,4,0,0,3,3,0,3,147,468,56,3,521,0,671,0,0,0,0,0,0,3,3397,536,56,3,590,0,3986,2079,36,0,0,41,0,2114,59,182,9,0,191,0,258,0,34,23,0,58,0,62,0,0,0,0,0,0,0,62,216,34,0,251,0,314,0,0,0,0,0,4,4,2143,256,34,0,292,4,2433,2651,52,0,0
LGA15950,1794,130,0,0,130,0,1932,322,735,9,0,744,0,1068,0,23,11,0,35,0,38,0,0,0,0,0,0,0,324,765,19,0,777,0,1099,0,3,0,0,3,4,6,2123,892,19,0,908,10,3039,1279,48,0,0,48,3,1328,230,628,19,0,646,0,871,0,38,11,0,47,0,47,0,0,0,0,0,0,0,230,668,28,0,698,0,921,3,0,0,0,0,0,8,1508,719,28,0,747,3,2260,696,23,0,0,23,3,722,87,243,7,0,251,0,331,0,19,3,0,22,0,22,0,0,0,0,0,0,0,87,258,8,0,265,0,355,0,3,0,0,3,4,9,780,284,8,0,291,7,1076,436,17,0,0,17,0,455,36,124,5,0,125,0,166,0,3,4,0,10,0,10,0,0,0,0,0,0,0,36,127,8,0,133,0,169,0,0,0,0,0,0,0,480,143,8,0,148,0,624,571,15,0,0
LGA15990,9305,457,3,0,464,10,9778,931,1784,26,0,1813,3,2745,6,45,19,0,70,0,74,0,0,0,0,0,0,4,935,1835,48,0,1877,3,2818,4,0,0,0,0,0,17,10245,2298,50,0,2342,22,12610,10789,429,3,0,431,4,11224,852,1722,41,0,1763,3,2621,15,41,32,0,75,0,84,0,0,0,0,0,0,0,866,1763,70,0,1836,3,2709,12,5,0,0,5,12,26,11668,2196,77,0,2273,19,13956,7225,236,5,0,241,5,7478,492,936,29,0,963,0,1451,11,20,19,0,40,0,51,3,0,0,0,0,0,3,496,953,48,0,1002,0,1503,3,0,0,0,0,4,15,7727,1187,56,0,1243,9,8990,4925,129,0,0,129,3,5055,292,579,18,0,595,0,888,0,15,17,0,32,0,39,0,0,0,0,0,0,0,293,595,37,0,629,0,928,3,0,0,0,0,3,8,5219,723,37,0,757,8,5989,6286,155,5,0
LGA16100,168,0,0,0,0,0,171,0,15,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,0,0,0,0,0,176,17,0,0,17,0,190,214,0,0,0,0,0,214,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,214,11,0,0,11,0,215,118,0,0,0,0,0,118,0,4,0,0,4,0,4,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,4,0,0,0,0,0,4,127,5,0,0,5,0,133,89,4,0,0,4,0,90,0,3,0,0,3,0,3,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,3,4,0,9,0,9,0,0,0,0,0,0,0,89,5,4,0,10,0,98,74,0,0,0
LGA16150,1896,31,0,0,29,3,1933,42,259,4,0,259,0,299,3,6,3,0,10,0,10,0,0,0,0,0,0,0,44,261,8,0,269,0,313,0,0,0,0,0,6,11,1943,290,8,0,298,11,2256,1876,38,4,0,39,10,1920,38,199,9,0,203,0,238,3,3,7,0,14,0,12,0,0,0,0,0,0,0,40,203,7,0,215,0,248,0,4,0,0,4,0,5,1915,245,11,0,259,10,2177,1121,6,0,0,6,0,1129,27,76,4,0,78,0,99,0,4,4,0,9,6,8,0,0,0,0,0,0,0,27,78,9,0,81,6,110,0,0,0,0,0,0,0,1141,86,9,0,93,5,1242,731,11,0,0,11,0,742,13,60,0,0,60,0,68,0,5,0,0,3,0,8,0,0,0,0,0,0,0,13,59,0,0,60,0,75,0,0,0,0,0,0,0,743,75,0,0,72,4,814,778,8,0,0
LGA16200,569,9,0,0,9,0,576,11,19,0,0,19,0,36,0,0,6,0,6,0,6,0,0,0,0,0,0,0,11,19,6,0,27,0,36,0,0,0,0,0,0,0,581,27,6,0,32,0,612,538,4,0,0,4,0,546,9,25,0,0,25,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,25,0,32,3,0,0,0,0,0,3,550,30,0,0,30,0,579,346,4,0,0,4,0,353,4,16,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,11,0,17,0,0,0,0,0,0,0,356,18,0,0,21,0,375,237,6,0,0,6,0,245,8,12,0,0,12,0,17,0,0,6,0,6,0,6,0,0,0,0,0,0,0,8,11,6,0,9,0,14,6,0,0,0,0,0,6,247,13,6,0,16,0,266,243,5,0,0
LGA16260,3144,378,9,0,395,4,3544,825,8344,418,7,8765,5,9596,14,628,283,0,920,0,931,0,11,0,0,8,0,8,841,8977,701,5,9689,9,10533,6,24,0,0,27,7,43,3990,9384,719,5,10109,25,14118,3127,271,7,0,278,8,3408,663,8175,449,6,8627,5,9299,14,717,383,0,1107,4,1121,0,9,5,0,12,0,12,678,8899,839,12,9747,8,10429,8,15,0,0,18,9,38,3805,9188,840,9,10042,23,13879,1982,123,4,0,129,0,2110,289,3680,247,0,3929,3,4220,17,373,265,0,638,0,656,0,0,0,0,5,0,4,305,4051,511,4,4568,3,4886,0,9,0,0,9,7,14,2295,4185,517,6,4701,14,7012,1337,71,0,0,70,0,1419,174,1825,137,0,1967,6,2140,10,225,151,0,372,0,384,3,0,0,0,0,0,0,184,2048,289,0,2342,6,2527,0,0,0,0,0,0,8,1522,2127,290,0,2418,11,3952,1764,112,0,0
LGA16350,7699,429,4,0,437,10,8144,475,2895,79,0,2977,3,3456,15,162,51,0,214,0,223,0,0,0,0,0,0,0,490,3061,133,0,3195,3,3687,12,8,0,0,8,12,31,8196,3499,140,0,3631,26,11860,7127,381,0,0,387,9,7529,367,2906,83,3,2990,4,3362,20,157,56,0,218,0,231,0,0,0,0,3,0,3,384,3068,138,3,3210,4,3597,5,9,0,0,9,8,25,7523,3459,139,3,3603,23,11147,4134,175,4,0,182,0,4325,233,1453,45,0,1500,0,1737,7,90,48,0,140,0,154,0,0,0,0,0,0,0,240,1548,98,3,1642,0,1885,11,3,0,0,3,4,11,4386,1726,93,3,1829,3,6225,2743,98,5,0,100,4,2855,131,862,33,0,897,4,1027,4,53,31,0,91,0,94,0,0,0,0,0,0,0,133,918,63,0,986,4,1119,6,0,0,0,4,5,11,2888,1020,66,0,1090,12,3986,3218,127,0,0
LGA16380,2455,49,0,0,49,7,2505,104,152,6,0,157,0,257,4,3,3,0,11,0,17,0,0,0,0,0,0,0,103,159,8,0,168,0,276,0,0,0,0,0,0,5,2556,206,8,0,212,9,2782,2918,35,0,0,35,6,2959,98,181,8,0,186,0,288,0,6,8,0,16,0,18,0,0,0,0,0,0,0,101,188,18,0,205,0,298,3,0,0,0,0,0,4,3020,227,18,0,237,6,3265,1955,31,0,0,32,3,1985,66,73,4,0,72,0,140,0,0,0,0,3,0,3,0,0,0,0,0,0,0,66,72,8,0,82,0,141,6,0,0,0,0,0,3,2021,103,9,0,106,3,2134,1312,12,0,0,12,0,1328,30,51,0,0,51,0,81,0,0,4,0,0,0,3,0,0,0,0,0,0,0,30,52,4,0,53,0,84,0,0,0,0,0,0,0,1343,61,4,0,68,0,1409,1661,14,3,0
LGA16400,2387,54,4,0,52,0,2447,102,104,5,0,110,4,212,0,11,0,0,12,0,15,0,0,0,0,0,0,0,103,115,5,0,121,4,225,3,0,0,0,0,4,6,2494,167,7,0,175,6,2679,2772,47,0,0,47,0,2818,88,90,9,0,98,0,186,0,11,5,0,14,0,14,0,0,0,0,0,0,0,88,99,11,0,108,0,196,3,0,0,0,0,0,4,2868,143,11,0,152,0,3020,1747,17,0,0,17,3,1766,57,45,0,0,51,0,105,0,0,0,0,3,0,0,4,0,0,0,0,0,4,58,48,3,0,49,0,109,0,0,0,0,0,0,0,1799,67,3,0,75,0,1877,1204,10,0,0,10,0,1223,30,45,0,0,45,0,75,0,4,0,0,5,0,5,0,0,0,0,0,0,0,26,45,0,0,45,0,78,6,0,0,0,0,0,4,1234,63,0,0,62,0,1299,1364,23,0,0
LGA16490,2626,97,0,4,102,0,2726,155,565,11,0,572,0,725,4,22,3,0,25,0,24,0,3,0,0,3,0,6,159,587,9,0,603,0,760,6,8,0,0,8,0,13,2784,698,9,4,710,0,3496,2495,70,0,0,73,3,2569,122,454,9,0,464,0,582,0,16,0,0,21,0,21,0,5,0,0,5,0,5,122,473,13,0,481,0,604,0,6,0,0,6,5,13,2618,546,8,0,561,10,3185,1536,40,0,0,40,0,1585,56,212,4,0,215,0,266,0,6,0,0,9,0,9,0,0,0,0,0,0,0,56,219,5,0,221,0,277,0,0,0,0,0,0,0,1594,259,5,0,261,6,1861,988,23,0,0,23,0,1012,39,116,0,0,116,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,116,0,0,118,0,159,0,0,0,0,0,0,0,1030,142,0,0,140,4,1171,1241,32,0,0
LGA16550,3736,291,0,0,295,0,4032,494,1252,23,0,1272,0,1761,6,43,9,0,51,0,54,0,0,0,0,0,0,0,498,1294,30,0,1324,0,1818,0,5,0,0,5,9,12,4238,1590,33,0,1619,7,5870,3469,188,6,0,190,0,3660,494,1331,40,3,1367,0,1867,17,35,13,0,50,0,64,0,0,0,0,0,0,0,504,1367,52,3,1421,0,1927,0,0,0,0,0,7,8,3980,1560,54,3,1614,3,5598,2164,97,0,0,97,0,2266,237,720,23,0,737,0,975,9,26,10,0,38,0,46,0,0,0,0,0,0,0,247,742,36,0,780,0,1020,4,0,0,0,0,0,9,2413,844,32,0,881,0,3292,1395,57,0,0,57,0,1449,122,408,9,0,418,0,537,0,14,8,0,22,0,22,0,0,0,0,0,0,0,122,419,17,0,440,0,563,0,0,0,0,0,0,0,1515,482,17,0,496,0,2010,1819,73,0,0
LGA16610,710,8,0,0,8,0,716,17,15,0,0,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,15,0,34,0,0,0,0,0,5,6,726,17,0,0,17,5,758,859,8,0,0,8,0,875,16,28,0,0,28,0,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,28,0,0,24,0,47,4,0,0,0,0,6,9,880,41,0,0,41,3,928,552,9,0,0,9,0,560,11,15,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,17,0,24,0,0,0,0,0,3,3,561,25,0,0,25,3,583,378,5,0,0,5,0,387,10,6,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,15,0,0,0,0,0,0,0,383,7,0,0,7,0,395,387,7,0,0
LGA16700,2048,223,0,0,226,0,2279,459,3228,133,5,3363,3,3825,7,229,63,0,297,0,304,0,0,0,0,0,0,0,467,3462,196,5,3658,3,4135,4,11,0,0,11,7,26,2524,3695,196,8,3899,16,6430,2145,151,0,0,153,0,2297,413,3072,139,0,3210,0,3627,5,211,93,0,303,0,313,0,3,0,0,3,0,3,424,3287,234,0,3520,0,3944,5,9,0,0,9,8,17,2574,3452,231,0,3678,6,6263,1357,70,3,0,73,0,1429,210,1231,62,0,1290,0,1498,4,96,54,0,152,0,156,0,3,0,0,3,0,3,212,1326,118,0,1449,0,1661,0,0,0,0,0,8,13,1570,1404,116,0,1521,8,3097,923,58,0,0,62,0,988,102,681,33,0,718,0,816,8,53,50,0,102,0,107,0,0,0,0,0,0,0,107,733,87,0,818,0,924,0,0,0,0,0,4,3,1027,792,86,0,877,4,1915,1292,45,0,0
LGA16900,2970,74,5,0,77,0,3048,142,261,4,0,260,0,402,0,14,0,0,13,0,17,0,0,0,0,0,0,0,142,274,6,0,279,0,414,4,0,0,0,0,0,3,3107,345,9,0,353,0,3466,2870,83,0,0,88,6,2962,130,297,5,0,307,0,429,0,11,3,0,16,0,20,0,0,0,0,0,0,0,135,311,12,0,317,0,453,0,0,0,0,0,5,11,3007,390,12,4,408,15,3424,1760,59,0,0,62,0,1824,57,167,8,0,175,0,235,0,8,6,0,13,0,9,0,0,0,0,0,0,0,61,177,12,0,183,0,246,0,0,0,0,0,4,4,1820,238,12,0,249,5,2075,1160,40,0,0,40,0,1207,35,116,6,0,114,0,156,5,8,0,0,8,0,4,0,0,0,0,0,0,0,37,119,6,0,120,0,165,0,0,0,0,0,0,4,1205,157,6,0,164,0,1370,1414,37,0,0
LGA16950,3410,81,0,0,83,3,3496,123,221,9,0,228,0,349,0,9,0,0,10,0,11,0,0,0,0,0,0,0,125,232,7,0,239,0,364,0,0,0,0,0,9,10,3536,314,9,0,324,13,3870,3421,88,0,0,88,9,3519,127,198,7,0,208,0,327,0,17,0,0,16,0,20,0,0,0,0,0,0,0,125,216,5,0,219,0,345,0,4,0,0,4,6,14,3543,305,5,0,315,15,3876,2067,31,0,0,35,0,2101,59,85,0,0,83,0,146,0,9,3,0,10,0,10,0,0,0,0,0,0,0,59,87,3,0,97,0,155,0,0,0,0,0,4,4,2122,125,3,0,131,5,2257,1427,23,0,0,26,0,1457,27,43,0,0,43,0,72,0,3,0,0,7,0,6,0,0,0,0,0,0,0,31,41,0,0,42,0,73,4,0,0,0,0,5,11,1465,68,0,0,70,9,1546,1666,21,4,0
LGA17000,1089,15,0,0,13,5,1108,23,41,5,0,44,0,61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,46,5,0,49,0,67,0,0,0,0,0,0,0,1111,55,5,0,64,5,1178,1191,5,0,0,6,3,1198,26,43,0,0,44,0,69,0,4,3,0,6,0,8,0,0,0,0,0,0,0,26,48,3,0,52,0,73,0,0,0,0,0,0,0,1217,52,5,0,59,3,1282,708,5,0,0,5,0,716,10,19,0,0,19,0,33,0,6,0,0,5,0,4,0,0,0,0,0,0,0,18,22,0,0,24,0,38,0,0,0,0,0,0,0,725,27,0,0,27,0,755,486,3,0,0,3,0,487,9,16,6,0,18,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,6,0,18,0,24,0,0,0,0,0,0,0,487,19,6,0,23,0,512,528,9,0,0
LGA17040,704,15,0,0,15,0,718,21,50,0,0,50,0,72,0,3,0,0,5,0,5,0,0,0,0,0,0,0,21,57,0,0,58,0,79,0,0,0,0,0,6,6,721,74,0,0,72,6,800,758,14,0,0,14,4,778,17,38,0,0,38,0,53,0,4,3,0,11,0,11,0,0,0,0,0,0,0,17,47,3,0,44,0,63,0,0,0,0,0,9,9,774,59,3,0,61,7,845,531,12,0,0,12,0,544,12,18,0,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,19,0,31,0,0,0,0,0,0,0,550,31,0,0,27,0,578,371,6,0,0,11,0,375,5,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,369,16,0,0,15,0,387,390,9,0,0
LGA17080,525,6,0,0,6,0,535,18,34,0,0,34,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,0,0,35,0,54,0,0,0,0,0,0,0,544,42,0,0,42,0,593,559,8,0,0,8,0,566,20,30,0,0,30,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,0,0,36,0,53,0,0,0,0,0,3,3,581,38,0,0,38,3,624,380,0,0,0,0,0,382,4,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,11,0,16,0,0,0,0,0,4,4,387,17,0,0,17,4,406,204,0,0,0,0,0,204,6,11,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,11,0,15,0,0,0,0,0,0,0,215,11,0,0,11,0,225,269,4,0,0
LGA17100,322,45,0,0,45,0,363,134,1337,48,4,1391,0,1524,0,100,69,0,162,0,164,0,0,0,0,0,0,0,137,1436,113,4,1553,0,1689,0,3,0,0,3,4,16,458,1489,113,4,1605,4,2069,299,54,3,0,54,0,356,100,1238,51,0,1292,0,1388,0,93,84,0,184,0,184,0,5,0,0,5,0,5,98,1335,134,3,1476,0,1577,0,3,0,0,6,4,13,400,1393,140,3,1539,4,1945,209,23,0,0,23,0,234,48,591,19,0,611,0,662,0,45,41,0,89,0,89,0,0,0,0,0,0,0,48,636,66,0,702,0,754,0,9,0,0,7,0,7,261,670,61,0,735,0,1000,133,24,0,0,21,0,158,35,370,19,0,392,0,429,0,35,44,0,83,0,77,0,0,0,0,0,0,0,38,408,63,0,472,0,508,0,0,0,0,0,0,4,176,429,66,0,494,0,670,193,19,0,0
LGA17150,9096,392,4,0,392,5,9493,712,1457,21,0,1481,0,2197,8,45,9,0,54,0,66,0,0,0,0,0,0,6,725,1509,31,0,1542,5,2268,9,0,0,0,0,7,11,9822,1897,35,0,1933,18,11771,9380,302,0,0,300,4,9685,635,1509,31,0,1539,5,2179,3,79,20,0,96,0,99,0,4,0,0,4,0,4,637,1587,53,0,1637,5,2281,12,4,0,0,4,4,20,10033,1888,50,0,1942,13,11989,5819,166,0,0,166,3,5985,310,749,23,0,775,0,1087,4,45,12,0,54,0,63,0,0,0,0,0,0,0,313,795,33,0,829,0,1145,6,0,0,0,0,3,10,6138,957,33,0,996,8,7138,3917,105,0,0,106,0,4023,203,511,13,0,527,0,723,3,24,10,0,33,0,37,0,0,0,0,0,0,0,208,532,24,0,556,0,762,0,0,0,0,0,3,0,4122,637,24,0,666,0,4791,5057,122,0,0
LGA17200,2940,284,0,0,288,0,3223,656,1955,99,0,2054,5,2711,8,91,53,0,149,3,155,0,0,0,0,0,0,0,664,2050,154,0,2196,6,2872,3,4,0,0,4,3,14,3609,2338,152,0,2491,12,6108,1658,127,0,0,126,5,1788,364,1080,63,0,1143,3,1510,4,64,49,0,113,0,117,0,0,0,0,0,0,0,367,1138,113,0,1258,0,1623,0,0,0,0,0,5,3,2026,1274,117,0,1386,8,3421,833,59,0,7,66,0,900,123,410,28,0,434,0,556,7,26,43,0,73,0,72,0,0,0,0,0,0,0,126,433,70,0,501,0,629,0,0,0,0,0,0,4,962,495,70,7,569,0,1531,517,25,0,0,31,0,551,79,209,13,0,223,0,303,4,12,21,0,37,0,38,0,0,0,0,0,0,0,80,220,37,0,258,0,335,0,0,0,0,0,0,0,597,251,35,0,285,0,884,648,25,0,6
